Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
"2016/2019 Mercedes-Benz A180 1.6 AMG Hatchback - W176 CBU JAPAN SPEC 7G , STEERING WHEEL , FACELIFT HEAD LIGHT , ADAPTIVE CRUISE , BLIND SPOT , LANE KEEP",RM 826 / month,"RM 63,700",Mercedes-Benz A180,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2016 Perodua Alza 1.5 Advance MPV - FACELIFT REUNION MILLAGE 3 YEARS WARRANTY FULL CAR LEATHER SEAT REAR ENTERTAIMENT,RM 385 / month,"RM 29,700",Perodua Alza,120 - 125K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2022 BMW 320i 2.0 M Sport Runout Edition Sedan - M Sport Edition FULL SERVICE LOW MILEAGE 66K MILEAGE M SPORT STREERING M SPORT SPORT RIM AA AC FULL DIGIT,"RM 1,903 / month","RM 146,800",BMW 320i,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2020 Mercedes-Benz C300 2.0 AMG Line Sedan,"RM 1,838 / month","RM 141,800",Mercedes-Benz C300,50 - 55K KM,Automatic,"Johor, Johor Bahru"
2025 Chery Omoda 9 2.0 - SUV - T AWD 63KM MILEAGE UNDER WARRANTY FREE SERVICE LUCKY DRAW CAR PANORAMIC HUD SONY DRIVER ASSIST SPORT 540 CAM NEW CAR CONDITION,"RM 2,072 / month","RM 159,800",Chery Omoda 9,0 - 5K KM,Automatic,"Selangor, Seri Kembangan"
2015 Perodua AXIA 1.0 SE (Metallic) Hatchback - SE AUTO,RM 270 / month,"RM 20,800",Perodua AXIA,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2020 BMW 218i 1.5 M Sport Coupe - FULL SERVICE GENUINE MILEAGE 74K KM,"RM 1,268 / month","RM 97,800",BMW 218i,70 - 75K KM,Automatic,"Penang, USM Pulau Pinang"
2017/2020 Toyota Harrier 2.0 Premium SUV - NewFacelift,"RM 1,125 / month","RM 86,800",Toyota Harrier,115 - 120K KM,Automatic,"Johor, Johor Bahru"
2022 Proton X50 1.5 Executive SUV - 1OWNER MACAM BARU,RM 697 / month,"RM 53,800",Proton X50,65 - 70K KM,Automatic,"Perak, Sitiawan"
2005 Toyota Avanza 1.3 MPV,RM 127 / month,"RM 9,800",Toyota Avanza,150 - 155K KM,Manual,"Penang, Perai"
2023 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,824 / month","RM 295,000",Mercedes-Benz GLC300,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2015 Mazda CX-5 2.0 SKYACTIV-G SUV,RM 464 / month,"RM 35,800",Mazda CX-5,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2019 Mercedes-Benz E200 2.0 Avantgarde Sedan - GENUINE 89K KM MILEAGE,"RM 1,553 / month","RM 119,800",Mercedes-Benz E200,85 - 90K KM,Automatic,"Penang, USM Pulau Pinang"
2018 Nissan Serena 2.0 S-Hybrid High-Way Star MPV,RM 853 / month,"RM 65,800",Nissan Serena,80 - 85K KM,Automatic,"Johor, Skudai"
2023 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - WARRANTY,"RM 1,372 / month","RM 105,800",Nissan Serena,75 - 80K KM,Automatic,"Penang, USM Pulau Pinang"
2016 Toyota Vellfire 2.5 ZG MPV - (A) SUNROOF UPGRADED FACELIFT,"RM 1,774 / month","RM 136,800",Toyota Vellfire,120 - 125K KM,Automatic,"Penang, Gelugor"
2020 Nissan Almera 1.5 E Black Series Sedan - Black Edition 2-Years Warranty,RM 438 / month,"RM 33,800",Nissan Almera,70 - 75K KM,Automatic,"Perak, Ipoh"
2021 Honda BR-V 1.5 E SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 674 / month,"RM 52,000",Honda BR-V,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2022/2023 Toyota Alphard 3.5 MPV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 2,826 / month","RM 218,000",Toyota Alphard,35 - 40K KM,Automatic,"Selangor, Shah Alam"
2024 Honda WR-V 1.5 V SUV - WARRANTY 2029 LANE WATCH FULL LEATHER ELECTRIC SEAT PADDLE SHIFT CRUISE CONTROL REVERSE CAMERA CARPLAY,"RM 1,346 / month","RM 103,800",Honda WR-V,20 - 25K KM,Automatic,"Kuala Lumpur, Cheras"
2023 BMW iX xDrive50 Sport SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used s,"RM 3,604 / month","RM 278,000",BMW iX,25 - 30K KM,Automatic,"Selangor, Shah Alam"
2022 Mercedes-Benz C300 2.0 AMG Line Sedan - (A),"RM 2,720 / month","RM 209,800",Mercedes-Benz C300,60 - 65K KM,Automatic,"Penang, Gelugor"
2025 BMW X1 2.0 sDrive20i xLine SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used s,"RM 2,891 / month","RM 223,000",BMW X1,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2017 Honda Civic 1.8 S Sedan - (A),RM 853 / month,"RM 65,800",Honda Civic,90 - 95K KM,Automatic,"Penang, Gelugor"
2017/2020 Toyota Alphard 2.5 G S C Package MPV - G S C TOUCH SCREEN MONITOR PILOT SEATS,"RM 1,890 / month","RM 145,800",Toyota Alphard,75 - 80K KM,Automatic,"Penang, USM Pulau Pinang"
2014/2015 BMW 220i 2.0 Sport Line Coupe - 43K KM MILEAGE,RM 905 / month,"RM 69,800",BMW 220i,40 - 45K KM,Automatic,"Penang, USM Pulau Pinang"
2017 Mercedes-Benz C200 2.0 Avantgarde Sedan - GENUINE 90K KM MILEAGE,"RM 1,112 / month","RM 85,800",Mercedes-Benz C200,90 - 95K KM,Automatic,"Penang, USM Pulau Pinang"
2014 Mercedes-Benz A250 2.0 Sport Hatchback - (A) GENUINE 37K KM MILEAGE,RM 905 / month,"RM 69,800",Mercedes-Benz A250,35 - 40K KM,Automatic,"Penang, Gelugor"
2021 Honda Civic 1.8 S Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 933 / month,"RM 72,000",Honda Civic,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2019 Toyota Hilux 2.8 L-Edition Dual Cab Pickup - LE Full Spec 2-Years Warranty,"RM 1,112 / month","RM 85,800",Toyota Hilux,80 - 85K KM,Automatic,"Perak, Sitiawan"
2019 Perodua Bezza 1.3 X Premium Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 376 / month,"RM 29,000",Perodua Bezza,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2024 BMW X3 2.0 xDrive30e Final Edition SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 3,371 / month","RM 260,000",BMW X3,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2020 Proton X70 1.8 Premium SUV,RM 777 / month,"RM 59,900",Proton X70,95 - 100K KM,Automatic,"Negeri Sembilan, Seremban"
2021 Perodua Ativa 1.0 AV SUV,RM 721 / month,"RM 55,600",Perodua Ativa,70 - 75K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Perodua Bezza 1.3 Advance (Metallic) Sedan - PROMO 1 year WARRANTY,RM 464 / month,"RM 35,800",Perodua Bezza,70 - 75K KM,Automatic,"Negeri Sembilan, Seremban"
2016 Honda Civic 1.8 S Sedan - (YearEndSales),RM 736 / month,"RM 56,800",Honda Civic,145 - 150K KM,Automatic,"Negeri Sembilan, Seremban"
2022 Perodua Ativa 1.0 H SUV,RM 704 / month,"RM 54,300",Perodua Ativa,40 - 45K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Ford Ranger 2.0 Wildtrak High Rider Dual Cab Pickup - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,RM 882 / month,"RM 68,000",Ford Ranger,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2019 Honda CR-V 1.5 TC SUV,"RM 1,134 / month","RM 87,500",Honda CR-V,105 - 110K KM,Automatic,"Negeri Sembilan, Seremban"
2014 Perodua Myvi 1.3 SE Hatchback - PROMO 1 YEAR WARRANTY,RM 309 / month,"RM 23,800",Perodua Myvi,105 - 110K KM,Automatic,"Negeri Sembilan, Seremban"
2019 Perodua Myvi 1.5 H Hatchback,RM 511 / month,"RM 39,400",Perodua Myvi,105 - 110K KM,Automatic,"Negeri Sembilan, Seremban"
2025 BMW X1 2.0 sDrive20i xLine SUV - Sime Darby Auto Selection Glenmarie Pre-Owned Used s,"RM 2,891 / month","RM 223,000",BMW X1,5 - 10K KM,Automatic,"Selangor, Shah Alam"
2015 Perodua Myvi 1.3 X Hatchback,RM 322 / month,"RM 24,800",Perodua Myvi,90 - 95K KM,Automatic,"Negeri Sembilan, Seremban"
2017 Honda BR-V 1.5 V SUV,RM 504 / month,"RM 38,900",Honda BR-V,140 - 145K KM,Automatic,"Negeri Sembilan, Seremban"
2015 Honda City 1.5 S Plus Sedan,RM 439 / month,"RM 33,900",Honda City,165 - 170K KM,Automatic,"Negeri Sembilan, Seremban"
2015 Honda City 1.5 V Sedan - PROMO 1 YEAR WARRANTY,RM 503 / month,"RM 38,800",Honda City,150 - 155K KM,Automatic,"Negeri Sembilan, Seremban"
2017 Toyota Innova 2.0 G MPV - Y.E.S DISCOUNT,RM 906 / month,"RM 69,900",Toyota Innova,95 - 100K KM,Automatic,"Negeri Sembilan, Seremban"
2018 Perodua AXIA 1.0 G Hatchback - (YearEndSales),RM 341 / month,"RM 26,300",Perodua AXIA,125 - 130K KM,Automatic,"Negeri Sembilan, Seremban"
2021 Hyundai Grand Starex 2.5 Executive Plus MPV - Sime Darby Auto Selection Glenmarie Pre-Owned Used Cars,"RM 1,400 / month","RM 108,000",Hyundai Grand Starex,60 - 65K KM,Automatic,"Selangor, Shah Alam"
2021 Toyota Hilux 2.8 Rogue Dual Cab Pickup,"RM 1,496 / month","RM 115,400",Toyota Hilux,70 - 75K KM,Automatic,"Negeri Sembilan, Seremban"
2015 Honda HR-V 1.8 V SUV - ( YearEndSales),RM 550 / month,"RM 42,400",Honda HR-V,150 - 155K KM,Automatic,"Negeri Sembilan, Seremban"
2023 Honda City 1.5 RS Sedan - Sime Darby Auto Selection Glenmarie Pre-Owned Used Ca,RM 843 / month,"RM 65,000",Honda City,20 - 25K KM,Automatic,"Selangor, Shah Alam"
2017 Toyota Vellfire 2.5 ZG MPV - (A) 5-Years Warranty,"RM 1,774 / month","RM 136,800",Toyota Vellfire,90 - 95K KM,Automatic,"Perak, Sitiawan"
2022 Volvo XC90 2.0 Recharge T8 Inscription Plus SUV,"RM 2,658 / month","RM 205,000",Volvo XC90,75 - 80K KM,Automatic,"Selangor, Subang Jaya"
